,cat,concept,typicality
582,9,998,5.951419960961187
583,9,1000,7.1747696659287445
584,9,1009,5.700005992983619
585,9,1011,6.934817094042734
586,9,1027,6.407453600394088
587,9,1041,4.455546362423158
588,9,1178,4.146539377265346
589,9,1217,3.9538684298259357
590,9,1240,7.2387303326211585
591,9,1242,5.3538015177757785
592,9,1273,7.656219116828307
593,9,1296,5.467146921270958
594,9,1300,5.33782378288357
595,9,1302,6.8575384260361885
596,9,1336,7.003216859131752
597,9,1375,6.612346132813424
598,9,1388,6.063025510467476
599,9,1407,4.735587862138685
600,9,1437,5.310620801796143
601,9,1463,3.5238917542204757
602,9,1470,4.551107547851386
603,9,1473,5.7656215607793
604,9,1549,7.360204897627055
605,9,1610,7.851368719089768
606,9,1624,5.658753198416381
607,9,1641,8.174853643174169
608,9,1666,5.964125846807604
609,9,1667,4.9708208268168255
610,9,1706,4.691104572017986
611,9,1735,4.608456141029755
612,9,1750,5.405730937507096
613,9,1757,4.813214450286183
614,9,1771,4.252028933164062
615,9,1784,6.161978828079255
616,9,1791,3.9918551930632113
617,9,1799,7.39648964550423
618,10,13,5.922752022773545
619,10,29,6.612786999721766
620,10,30,7.848114522094454
621,10,32,6.319265519807783
622,10,39,5.318121650134897
623,10,40,4.768937015296642
624,10,42,6.345854258460876
625,10,43,6.554801464860037
626,10,51,7.81164295266464
627,10,55,7.157546722404137
628,10,57,4.253756629284231
629,10,63,7.756378604915012
630,10,65,5.249428092525532
631,10,81,4.537116203332926
632,10,96,4.227388129074127
633,10,102,6.914310233235061
634,10,114,5.41671455238217
635,10,117,6.453218646503572
636,10,121,6.349608571668076
637,10,132,6.23464043323389
638,10,133,6.544043492288457
639,10,135,6.423583992872814
640,10,149,6.296694702528099
641,10,156,4.857554096935703
642,10,158,6.686724443635484
643,10,194,8.383880308041125
644,10,196,6.727493475307438
645,10,197,7.290714641410595
646,10,201,7.116490538243619
647,10,204,6.822769971258
648,10,206,5.9500669510305535
649,10,211,5.138903643909218
650,10,220,6.43960910774886
651,10,225,7.11377357521313
652,10,228,6.366767180716656
653,10,232,6.340569818596091
654,10,237,7.35065720126126
655,10,238,4.7184087830127925
656,10,239,5.116225507362705
657,10,243,5.9500602874210085
658,10,255,6.276685800162573
659,10,256,6.49102702501637
660,10,257,4.382441973913997
661,10,263,5.900805175759574
662,10,270,4.883672211361498
663,10,277,7.4683079358631925
664,10,281,5.993573148626337
665,10,282,7.201462554726636
666,10,287,5.438673296768781
667,10,288,6.380819740126825
668,10,289,3.8729616339213218
669,10,291,6.601302320466116
670,10,297,7.73115244605467
671,10,312,7.615512188834678
672,10,313,8.206646023424508
673,10,314,6.68613533045685
674,10,316,6.377605201219724
675,10,323,8.235780422206545
676,10,325,5.695610910817769
677,10,327,6.814840860685415
678,10,335,7.631785952376857
679,10,337,4.328239980857853
680,10,338,7.202079523447514
681,10,347,4.663628576333658
682,10,348,4.402210400877739
