,Unnamed: 0,0,1,2,cr,bigcat,cat_name,human_typ,radius,within_cat_distance_raw,within_cat_distance,between_cat_distance,between_cat_distance_eu,between_cat_distance_resid
547,547,-15.007953336993976,1.6615890328048863,-1.823722022750612,0.8385834957410397,10,food,4.294521399813682,15.209388662782988,-4.739067403462371,-4.739067403462371,36.208258818241404,13.001579819046146,0.40928181040098366
548,548,-19.33424833961369,8.66082620349017,2.3527457435999626,0.7375879222931374,16,kitchen tool,6.657838704213661,21.31568628777747,-1.2422494732669804,-1.2422494732669804,40.795785301980345,8.26190649492925,-0.23083328436524653
549,549,-18.43264777409777,5.4883193901560245,-2.1223637659966603,0.8108843616465569,8,drink,7.0459406642368165,19.349123536933902,-1.8278803335084604,-1.8278803335084604,38.725933898478864,8.550533062626073,-0.6170973761430147
550,550,-22.06242947859364,9.189575479770928,-4.624711843689487,0.8455095479944722,10,food,5.452323425813213,24.343110968680367,5.433656905076049,5.433656905076049,44.01115456255782,7.5545401596009665,0.39273778529206993
551,551,-24.080384236572563,7.366697285094693,-4.264710739452512,0.8269864892733038,99,other,6.963534945967692,25.540573438401797,0.7147567089712936,0.7147567089712936,44.000740464311455,9.049125629092963,-0.6428318130386756
552,552,-15.381757557348056,19.112385452828352,-2.632379363539868,0.8526934882771121,3,body part,8.147264829010174,24.674099058812857,1.31267409399873,1.31267409399873,44.871959545522834,11.03620206453206,0.970181686267864
553,553,-23.799786468744053,13.90104860541315,1.1536443356750266,0.8316364805854537,9,electronic device,3.3428352580679457,27.586226337451567,4.1546779521978365,4.1546779521978365,46.54341424271076,8.438098132622464,0.1485450573145073
554,554,-10.796043832280612,7.81793108416104,-9.66060343470324,0.8207385448942529,1,animal,3.2770384024476646,16.462134356996838,-3.2907326370815433,-3.2907326370815433,37.886337972776815,14.284170037580092,1.0148771325795423
555,555,-26.59324538885877,11.858975828886686,-4.434796367086836,0.8041238335622909,99,other,5.755956967954225,29.45341112400571,3.6210365823701167,3.6210365823701167,47.67078535697276,10.183310150798333,-0.32259301097444393
556,556,-15.155784016614612,1.384947578649492,-0.8135354179180405,0.7871505835947149,10,food,8.13122491513175,15.240659724240453,-4.218512189797529,-4.218512189797529,36.32575744226712,13.235839665399046,0.5000090729375515
557,557,-17.553330984406433,9.553984265796196,-0.1821447779360124,0.7037007701111949,20,part of car,7.123030240103713,19.98577545954456,-3.7820138352512274,-3.7820138352512274,38.75199474598514,7.390228283153726,-1.136078428994125
558,558,-23.073390186223246,12.403373642202196,-5.997640303048125,0.7870745580756925,19,office supply,4.811342946650514,26.87371767356587,2.0331442267014026,2.0331442267014026,45.84428221315464,8.070247135831208,0.05939638348736764
559,559,-18.472982548680218,13.17369906666294,-2.518065275632952,0.853934515776621,19,office supply,6.408831976182341,22.828449007218786,-1.3275920962265388,-1.3275920962265388,41.768967495217105,7.0058657630403,-0.5527372097929302
560,560,-20.571902557242225,6.857361625937596,-2.9977153780842314,0.7976876670240515,8,drink,5.179402123173957,21.8909314735932,0.1170840686702661,0.1170840686702661,41.14848008247255,7.7956208973006555,-0.3706096927807323
561,561,-19.234646289042544,15.783031069912402,2.4297764229821204,0.8050185885835348,22,sports equipment,4.255357442637889,24.999590018319864,-0.7562146262410607,-0.7562146262410607,44.52841725672988,9.062706700741188,0.3479844451873646
562,562,-23.507142254657776,16.927744585992684,0.728793727774213,0.7699574805739164,20,part of car,5.284903769712635,28.97698076140723,5.497261070058798,5.497261070058798,48.09494536489814,9.43282001924112,0.5094421654634402
563,563,-20.268424955527607,10.717946532566907,1.1158467061542123,0.7723499430980699,99,other,4.353011652978955,22.95492413240463,-2.8403749464639247,-2.8403749464639247,41.318392888369296,7.621499394521287,-1.1115880035664887
564,564,-19.60406745061329,18.930300170077047,-4.788153174714353,0.8402219146377473,3,body part,5.535688251936105,27.669516366607162,5.156789961034285,5.156789961034285,47.41855586889133,10.207392799523102,0.9523815414550896
565,565,-20.63259321618262,22.502219295941508,0.6454092751309163,0.8404914921763446,4,clothing,3.5068933466512053,30.5363771459473,6.453144344193397,6.453144344193397,50.60168335556533,13.315070714891108,1.6811706499079975
566,566,-20.961956191391703,14.898085891010204,3.708476319881016,0.7905584779541779,17,medical equipment,6.05413517261485,25.98286680104527,0.2531840625008641,0.2531840625008641,45.489265005673985,9.293875917037752,0.46704247010720934
567,567,-19.44239898143096,15.32229461639494,1.4436210293490577,0.8666035104176956,99,other,4.82562160999148,24.796443941443133,-0.4583847974468611,-0.4583847974468611,43.458236415492685,8.82336970344289,-0.5482817028576576
568,568,-16.993947060974136,17.477388941006073,-1.6140265513474952,0.7656638466940509,99,other,4.756304237812573,24.43068649495645,-0.20449850495194255,-0.20449850495194255,43.3484922316821,9.620097575999841,-0.34489852990868997
569,569,-10.740878930735796,16.615995139721978,-2.267496546016702,0.8797946633312489,3,body part,5.297030766820304,19.914801411869167,-2.5386819174753867,-2.5386819174753867,40.55472511270561,12.365649100669454,0.727413286977324
570,570,-16.95130599227669,16.638716158557596,2.4429459429695224,0.7494073758027556,22,sports equipment,6.095437153941566,23.878057607961175,-1.264627823782945,-1.264627823782945,43.78550182193663,9.957984962867972,0.5652202870095451
571,571,-23.130504058947512,11.352542414424676,0.604633482430112,0.744014754119284,9,electronic device,4.983156676169127,25.773358705073232,2.2017083588483217,2.2017083588483217,44.75457160788211,7.667416267329621,-0.08828966808050609
572,572,-14.584455893718625,0.4506713599552959,-1.2700892116755738,0.7336425778498951,10,food,4.548017651020092,14.646589534636469,-4.412202330228773,-4.412202330228773,35.96079274643214,14.160762636709524,0.6436317756290322
573,573,-15.839832036274377,9.900151275349256,-4.3384005977444025,0.8142765975644668,99,other,3.8611961385468314,19.17641765186325,-6.337567276478737,-6.337567276478737,37.57460677013776,7.886888349596823,-1.6205698598051015
574,574,-25.82089021705064,17.08179322564472,-5.707660010026424,0.7620610723736565,99,other,4.712505014828401,31.481477319127162,5.7244407918609,5.7244407918609,49.82335260688645,11.708388601859179,0.0937334238533154
575,575,-23.855406717900536,12.518625889478573,-2.213989030133184,0.7527912049574438,99,other,3.1429178711450048,27.03142932334003,0.6291228370246031,0.6291228370246031,45.128887128598954,8.312051291245734,-0.7910166822422653
576,576,-19.973441114758103,10.98637369703335,-0.6576446961304284,0.734653035698332,99,other,5.363175545660519,22.80507078528642,-3.4988304797719394,-3.4988304797719394,40.95400593011985,7.063381190487515,-1.3476845252563479
577,577,-22.485930420892725,12.212896188676272,-5.978862581894526,0.7679033026594003,21,plant,5.204443246485146,26.27772246565122,-0.9809430373620458,-0.9809430373620458,45.2743222425162,7.913994098804749,-0.00032816778150390746
578,578,-13.104221147527204,7.314672929229169,-8.61886677335068,0.804157111196031,1,animal,4.377892583775533,17.306354798214024,-2.4473241033235205,-2.4473241033235205,38.311665285233694,12.381132146288255,0.7174617700206483
579,579,-26.208847880736805,13.43502889884094,2.3116708466750846,0.7685726961468073,99,other,5.155011295039416,29.54230070342628,3.9699919839799804,3.9699919839799804,48.01820360760574,11.003830804041186,-0.051273714210459786
580,580,-20.79552244389187,13.15712233550562,-6.065155262690318,0.7367720241436545,26,vehicle,8.36338428144176,25.344619354537787,2.5290885208322322,2.5290885208322322,44.57355380148921,7.871506305863984,0.0977391047870313
581,581,-21.48613861459626,5.042577600435498,-2.880983772237369,0.7939499682474801,10,food,4.819664953745125,22.257174324652116,2.0277879418214084,2.0277879418214084,42.708900126503046,9.551985901818304,0.876267436441772
582,582,-18.873351995282576,15.808153599022152,-0.4214575533683311,0.8164591336847434,13,home decor,5.951419960961187,24.622728569705778,-0.623140763451886,-0.623140763451886,43.89580621989014,8.020210664366243,0.03800697439698553
583,583,-18.773003850708733,11.271723226116288,4.461833683351438,0.7473909719577243,23,tool,7.1747696659287445,22.346932180565272,-0.8932008786018457,-0.8932008786018457,42.184889356186254,9.337926097154227,0.2754143750370943
584,584,-23.14241939541096,11.37940001623092,-5.738862319272169,0.7759086742320315,19,office supply,5.700005992983619,26.41963021925272,1.5944136676085492,1.5944136676085492,45.40061857098045,7.931550372358791,0.0044799990178248095
585,585,-16.289285666033194,8.561813711632597,-3.944132159188884,0.8616973748858695,6,container,6.934817094042734,18.820246014106257,-6.425995565618152,-6.425995565618152,37.722193206599634,8.088763639343288,-1.1680625405154146
586,586,-28.512677784429844,18.11071444589701,-3.407491868389223,0.7753495098680863,99,other,6.407453600394088,33.94969474108243,7.6899616666715644,7.6899616666715644,52.09253986699445,13.573314527967998,0.24986350722144124
587,587,-22.267022151381365,11.465483142493705,-2.098107064785092,0.7960759074045339,20,part of car,4.455546362423158,25.133237603544373,1.3282825435447094,1.3282825435447094,43.794121486896394,6.82567540508713,-0.5007279018084674
588,588,-12.752400986882494,17.22076221825227,-2.245192506297304,0.8322343983929352,3,body part,4.146539377265346,21.545748343888175,-1.7104683901821218,-1.7104683901821218,41.92091981787001,11.278058319037722,0.6973435913927162
589,589,-27.484045716086577,20.49671458362841,-3.254958508845937,0.8244014115965336,99,other,3.953868429825936,34.43955331506161,8.699003986112338,8.699003986112338,52.82946168926674,14.360251797405681,0.5674141808555149
